정류소명,정류소ID,승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
화개사입구,90035,88,1,83,1,5,2
화곡역,16147,320,36310,306,36310,14,1221
화곡역,25190,34104,91,33992,91,112,1139
화도,43077,63,115,55,115,8,5
화도고개,36027,2188,2752,2119,2752,69,164
화도고개,36028,1803,4696,1759,4696,44,216
화도돈대,43676,39,2,39,2,0,1
화도돈대,43863,3,40,3,40,0,1
화도진공원.화도진도서관,36033,11179,3464,10969,3464,210,488
화도진공원.화도진도서관,36035,3899,11267,3819,11267,80,505
화도진중학교,36064,3394,666,3243,666,151,135
화도진중학교,36066,888,2905,768,2905,120,126
화도터미널,43104,976,1409,895,1409,81,79
화도터미널,43105,1798,905,1746,905,52,90
화력발전소,42628,208,204,207,204,1,13
화문석문화관,43697,111,0,100,0,11,3
화물터미널,35039,1,242,1,242,0,8
화물터미널,35040,232,17,230,17,2,8
화성보일러,39107,2929,5519,2890,5519,39,281
화성파크드림.스카이시티자이,35651,6007,2009,5862,2009,145,267
화성파크드림후문.한라비발디,35659,542,848,527,848,15,46
화수부두,36147,592,1109,554,1109,38,56
화수사거리,36072,2511,652,2420,652,91,105
화수사거리,36104,260,1349,253,1349,7,53
화전초교사거리,41087,925,1248,916,1248,9,72
화전초등학교,41085,1011,333,1007,333,4,44
화전초등학교,41086,385,437,371,437,14,27
화평철교.화평동냉면거리,36014,2873,3158,2810,3158,63,201
화평철교.화평동냉면거리,36016,15879,21285,15378,21285,501,1238
화훼단지·당미교,41462,134,426,134,426,0,18
화훼단지·당미교,41463,151,204,143,204,8,11
환경공단강화사업소,90109,0,3,0,3,0,0
환경공단강화사업소,90110,4,2,3,2,1,0
황곡노인정,89310,71,0,65,0,6,2
황곡노인정,89320,101,116,83,116,18,7
황곡상회,89311,57,1,56,1,1,1
황곡상회,89330,0,34,0,34,0,1
황골,43992,25,72,22,72,3,3
황골,43993,50,5,47,5,3,1
황골마을,43135,5,20,5,20,0,0
황골마을,43277,30,2,29,2,1,1
황련사입구,43328,63,53,61,53,2,3
황련사입구,43630,22,0,22,0,0,0
황산도,43635,11,39,9,39,2,1
황산도관광밸트,43873,5,0,5,0,0,0
황산도관광밸트,43876,1,17,1,17,0,0
황산도입구,43636,38,14,38,14,0,1
황산도입구,43861,8,16,8,16,0,0
황청리종점,90207,3,0,3,0,0,0
효성2동치안센터,41024,2077,9268,2001,9268,76,378
효성고등학교,41074,2059,794,2013,794,46,95
효성고등학교,41075,760,2691,734,2691,26,115
효성남초등학교,41040,6190,3295,6082,3295,108,316
효성노인문화센터,41409,753,1971,741,1971,12,90
효성노인문화센터,41410,529,894,526,894,3,47
효성농협,41039,2867,1481,2783,1481,84,144
효성뉴서울아파트,41060,15017,1691,14829,1691,188,556
효성뉴서울아파트,41061,2166,13331,2070,13331,96,516
효성뉴서울아파트202동,41078,1448,16829,1397,16829,51,609
효성뉴서울아파트204동,41368,15112,1584,14947,1584,165,556
