정류소명,정류소ID,승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
(구)국제여객터미널,35051,95,1923,21,1923,74,67
(구)국제여객터미널,---,2512,43,2465,43,47,85
(주)경동세라믹스,89146,341,26,335,26,6,12
(주)경인양행앞,42096,945,923,938,923,7,62
(주)경인양행앞,42097,1322,3536,1294,3536,28,161
(주)대한특수금속,39050,1243,89,1238,89,5,44
(주)두남,39135,147,29,147,29,0,5
(주)세모입구(린나이코리아),37585,1410,1517,1404,1517,6,97
(주)세모입구(린나이코리아),40893,307,556,304,556,3,28
(주)스킨이데아,89388,147,148,147,148,0,9
(주)스킨이데아,89389,628,6,620,6,8,21
(주)씨피엔텍,39133,519,3415,510,3415,9,131
(주)씨피엔텍,39134,2308,439,2297,439,11,91
(주)창원,39029,3624,3208,3601,3208,23,227
(주)창원,39030,4312,3590,4295,3590,17,263
(주)하나금속,39124,3,17,3,17,0,0
17사단.다임메가타운,40895,1882,4284,1853,4284,29,205
17사단입구,40832,24,603,11,603,13,20
2001아울렛,40154,3405,5611,3358,5611,47,300
2001아울렛,40159,30959,13650,30529,13650,430,1486
2001아울렛,40162,11254,21820,11008,21820,246,1102
2001아울렛부평점,40158,5025,2011,4866,2011,159,234
2차풍림아이원,42584,42,12667,30,12667,12,423
3단지,40736,387,1893,357,1893,30,76
3단지관리사무소,40107,2056,573,2032,573,24,87
41번구종점,42174,1978,6131,1946,6131,32,270
510번차고지,36145,835,228,822,228,13,35
540번종점,39470,3694,32,3638,32,56,124
6공단사거리,37577,435,2502,424,2502,11,97
6공단입구,37442,636,1024,620,1024,16,55
6공단입구,37443,1317,1710,1273,1710,44,100
8부두,35181,261,2770,207,2770,54,101
8부두,35182,1615,2215,1556,2215,59,127
CJ인천2공장,35591,254,3156,250,3156,4,113
CJ인천2공장,35592,2489,103,2485,103,4,86
E편한세상,42453,3525,2584,3454,2584,71,203
E편한세상,42649,1334,2347,1312,2347,22,122
E편한세상,42726,2660,1365,2611,1365,49,134
GM물류센터,40568,447,1356,438,1356,9,60
GS25편의점,36142,952,2056,912,2056,40,100
GS내리주유소,44147,1,1,1,1,0,0
GS칼텍스,35168,623,87,597,87,26,23
GS칼텍스,35557,8,2427,6,2427,2,81
GS칼텍스,89220,53,142,53,142,0,6
GS칼텍스,89224,58,1748,58,1748,0,60
GS칼텍스주유소,39814,113,19,111,19,2,4
HD현대인프라코어,36081,787,1540,777,1540,10,77
HD현대인프라코어,36083,2055,1140,2026,1140,29,106
HD현대인프라코어후문,36077,64,700,5,700,59,25
HD현대인프라코어후문,36078,4217,809,4202,809,15,167
JC회관,37383,4341,4473,4256,4473,85,293
KCC아파트,42391,1567,1090,1535,1090,32,88
KG스틸,42008,2628,4773,2618,4773,10,246
KTX광명역4번출구,58057,711,10,711,10,0,24
KT부평지사,40381,9937,6350,9780,6350,157,542
KT부평지사,40384,6743,12648,6592,12648,151,646
KT서인천지사,42932,1786,2663,1759,2663,27,148
KT서인천지사,42933,1529,989,1512,989,17,83
KT송도지점,38568,482,314,476,314,6,26
KT온수분국,43523,609,294,594,294,15,30
KT인천공항지사,35095,330,76,323,76,7,13
KT인천공항지사,35109,7976,3082,7500,3082,476,368
KT인천지사,37415,6230,4684,6088,4684,142,363
KT인천지사,39319,8914,4443,8699,4443,215,445
KT중동지사,55081,789,192,774,192,15,32
KT중동지사,55082,182,1069,180,1069,2,41
LG마그나,89029,5958,1676,5941,1676,17,254
LG마그나,89264,2502,5411,2498,5411,4,263
LG물류센터,39043,312,131,310,131,2,14
LG물류센터,39044,54,445,54,445,0,16
LG아파트후문,42616,371,37,371,37,0,13
LG아파트후문,42617,3,180,3,180,0,6
LG전자(주),42297,4777,3297,4752,3297,25,269
LH1단지,35494,7131,3727,6974,3727,157,361
LH1단지,35495,3711,4809,3531,4809,180,284
LH49단지행복주택아파트,35768,414,676,413,676,1,36
LH49단지행복주택아파트,35769,1325,855,1312,855,13,72
LH7단지,35451,2526,2401,2445,2401,81,164
LH7단지,35452,2808,3037,2730,3037,78,194
LH미추홀3단지,37222,2996,6045,2825,6045,171,301
LH미추홀3단지,37635,6440,3246,6342,3246,98,322
LH웨스턴블루힐정문,89184,943,2347,922,2347,21,109
LH웨스턴블루힐정문,89185,3768,4231,3721,4231,47,266
NKG물류센터,89212,281,26,269,26,12,10
SK.GS주유소,89230,1225,1739,1219,1739,6,98
SK.GS주유소,89231,1650,1379,1635,1379,15,100
SKLPG충전사업소,35636,569,21,525,21,44,19
SKLPG충전사업소,35638,134,614,1,614,133,24
SK뷰아파트,42888,1488,5839,1449,5839,39,244
SK뷰아파트,42889,7426,1196,7029,1196,397,287
SK스카이뷰,37601,435,26840,395,26840,40,909
SK스카이뷰104동,37587,8287,50,8247,50,40,277
SK스카이뷰109동,37607,7134,85,7095,85,39,240
SK인천석유화학,42767,1283,705,1262,705,21,66
SK인천석유화학,42768,225,812,221,812,4,34
SK주유소,42956,528,386,517,386,11,30
SK주유소앞,35287,1912,140,1859,140,53,68
SK주유소앞,35539,111,2468,110,2468,1,85
SK충전소,35085,65,2648,30,2648,35,90
e편한세상 정문,38624,18907,884,18634,884,273,659
e편한세상(109동 앞),32062,733,1399,721,1399,12,71
e편한세상(109동앞),38643,1314,545,1250,545,64,61
e편한세상1차(정문),35662,654,1215,605,1215,49,62
e편한세상1차(정문),35663,1673,485,1650,485,23,71
e편한세상계양,41037,14546,3527,14403,3527,143,602
e편한세상계양,41038,5215,12931,5091,12931,124,604
e편한세상영종센텀베뉴정문,35510,924,3497,910,3497,14,147
e편한세상영종오션하임,35674,1899,1226,1821,1226,78,104
e편한세상영종오션하임,35761,731,1090,704,1090,27,60
e편한세상영종하늘도시,35646,350,505,350,505,0,28
e편한세상영종하늘도시,35647,214,368,202,368,12,19
gym80fitness,37081,2433,855,2379,855,54,109
가경공원,89365,985,726,970,726,15,57
가구단지사거리,37455,3568,5457,3512,5457,56,300
가구단지사거리,37456,3591,2159,3551,2159,40,191
가구전시장,42072,410,663,399,663,11,35
가구전시장,42074,748,618,744,618,4,45
가나안마을앞,43904,9,33,9,33,0,1
가나안마을앞,43905,43,4,43,4,0,1
가능포,43969,1,0,1,0,0,0
가능포,43970,1,20,1,20,0,0
가림고등학교,42078,13810,13058,13492,13058,318,895
가야,42807,605,1,586,1,19,20
가야,42808,126,1452,123,1452,3,52
가양역.우성아파트,25107,9235,6327,9196,6327,39,518
가오대입구,80033,220,393,194,393,26,20
가오대입구,80034,85,667,80,667,5,25
가원초등학교,42952,6536,4601,6451,4601,85,371
가원초등학교,89118,2851,5668,2760,5668,91,283
가재우물터,35678,9,4,9,4,0,0
가재우물터,35700,3,12,3,12,0,0
가재울사거리,42039,2432,5311,2402,5311,30,258
가재울사거리,42042,8354,5035,8266,5035,88,446
가재울역,42034,2155,2775,2133,2775,22,164
가재울역,42035,3816,2112,3738,2112,78,197
가정(루원시티)역,89050,4779,44611,4732,44611,47,1646
가정(루원시티)역,89051,60219,6711,59993,6711,226,2231
가정(루원시티)역,89075,74655,74678,74230,74678,425,4977
가정(루원시티)역,89078,84690,72801,84217,72801,473,5249
가정3동성당,42226,411,3353,407,3353,4,125
가정LH3단지정문앞,89041,18267,3684,18082,3684,185,731
가정고등학교,42200,11702,4667,11521,4667,181,545
가정고등학교,42203,3769,7479,3675,7479,94,374
가정교차로,89390,174,720,152,720,22,29
가정교차로,89391,537,3465,533,3465,4,133
가정동성당,89102,3516,3346,3384,3346,132,228
가정동성당,89105,2717,1841,2671,1841,46,151
가정보금자리,89119,1377,405,1371,405,6,59
가정보금자리,89120,38,1442,34,1442,4,49
가정여자중학교,42041,303,6974,289,6974,14,242
가정여중입구,89303,836,804,819,804,17,54
가정중앙시장역,42215,1281,1024,1260,1024,21,76
가정중앙시장역,42219,1191,1790,1163,1790,28,99
가정택지삼거리,89385,335,201,326,201,9,17
가정택지삼거리,89386,215,393,200,393,15,20
가정휴먼시아3단지,89186,1133,1515,1120,1515,13,88
가정휴먼시아3단지,89187,1724,1772,1656,1772,68,116
가좌2동행정복지센터,42073,5684,273,5640,273,44,198
가좌2동행정복지센터,42076,166,4972,146,4972,20,171
가좌3동행정복지센터,42075,13050,14207,12877,14207,173,908
가좌4동행정복지센터,42062,5097,6999,4994,6999,103,403
가좌고등학교,42060,15725,12178,15399,12178,326,930
가좌고등학교,42061,5582,8646,5437,8646,145,474
가좌공단,42526,74,11307,54,11307,20,379
가좌공단,42945,8792,14,8714,14,78,293
가좌교회,42055,3752,8404,3670,8404,82,405
가좌교회,42057,4289,3960,4206,3960,83,274
가좌녹지공원,42029,1268,3567,1256,3567,12,161
가좌녹지공원,42030,1656,1062,1647,1062,9,90
가좌농협,42066,8376,7398,8184,7398,192,525
가좌농협,42067,6091,5874,5897,5874,194,398
가좌동차고,42939,2640,300,2043,300,597,98
가좌동차고지,42522,539,1045,46,1045,493,52
가좌두산위브104동앞,42090,5736,3524,5612,3524,124,308
가좌사거리,42043,47,245,38,245,9,9
가좌사거리,42044,454,4216,441,4216,13,155
가좌진주아파트,42100,13718,28676,13475,28676,243,1413
가좌체육공원,42058,7275,993,7183,993,92,275
가좌초등학교,42069,4344,4949,4247,4949,97,309
가좌초등학교,42070,4986,2677,4890,2677,96,255
가좌테니스장,37454,2440,1019,2429,1019,11,115
가좌테니스장,37457,889,1564,870,1564,19,81
가좌현대아파트,42130,8335,2640,8173,2640,162,365
가좌현대아파트,42133,925,8309,908,8309,17,307
가좌홈플러스(쌍마아파트),42101,10289,7773,9945,7773,344,602
가좌홈플러스(쌍마아파트),42103,7640,11363,7390,11363,250,633
가좌환경사업소,42631,7811,4281,7734,4281,77,403
가좌환경사업소 북측,89341,217,310,213,310,4,17
가좌환경사업소북측,89342,19,222,19,222,0,8
가천대학교,38270,1253,864,1178,864,75,70
가천대학교,38284,8168,2635,7975,2635,193,360
가천대학교(노인복지회관),38269,818,952,794,952,24,59
가천의대,43237,0,29,0,29,0,0
가천의대,43897,18,1,17,1,1,0
가톨릭대,43156,2,1,2,1,0,0
가톨릭대,43325,0,50,0,50,0,1
가현오일뱅크,42734,28,15,27,15,1,1
가현중학교,42722,3175,3166,3106,3166,69,211
가현초교앞(루에블리아파트),89242,3431,4555,3290,4555,141,266
가현초교앞(센트럴타운아파트),89243,5980,1775,5912,1775,68,258
각곡,43602,2,83,2,83,0,2
각곡,43772,192,11,182,11,10,6
간석4거리,39538,332,310,317,310,15,21
간석4동새마을금고,39343,3276,6178,3127,6178,149,315
간석4동새마을금고,39346,3333,2417,3254,2417,79,191
간석4동행정복지센터,39403,4329,8473,4296,8473,33,426
간석4동행정복지센터,39412,5609,3112,5543,3112,66,290
간석금호어울림아파트,39334,27478,13535,26949,13535,529,1367
간석남부역,37429,3585,789,3502,789,83,145
간석남부역,37435,7630,2627,7495,2627,135,341
간석남부역,37529,1209,3052,1195,3052,14,142
간석동용광경로당,39394,972,588,961,588,11,52
간석래미안.자이,39333,17423,19184,17248,19184,175,1220
간석북부역,39806,3532,56,3448,56,84,119
간석북부역,39807,91,2324,61,2324,30,80
간석북부역·우성1차,39368,12372,4671,12344,4671,28,568
간석북부역·우성1차,39370,5156,9847,5134,9847,22,500
간석사거리,39413,13893,9631,13739,9631,154,784
간석사거리,39414,4942,10031,4905,10031,37,499
간석사거리,39430,2265,2725,2243,2725,22,166
간석사거리(상인천중학교),39422,13276,29829,13044,29829,232,1436
간석사거리(상인천중학교),39426,32673,19029,32402,19029,271,1723
간석시장,39434,13171,32135,12950,32135,221,1510
간석시장,39436,58154,32902,57535,32902,619,3035
간석시장,39437,15682,20947,15503,20947,179,1220
간석오거리,39460,18029,14032,17694,14032,335,1068
간석오거리,39597,4898,4204,4873,4204,25,303
간석오거리(교원공제조합),39444,36538,29486,36264,29486,274,2200
간석오거리(인천웨딩홀),39406,8365,11702,8099,11702,266,668
간석오거리(인천웨딩홀),39423,34630,20727,34193,20727,437,1845
간석오거리역(7번출구),39447,17171,31023,17009,31023,162,1606
간석오거리역(8번출구),39449,61111,73633,60880,73633,231,4491
간석지구대,39535,517,733,495,733,22,41
간석지구대,39536,548,594,529,594,19,38
간석풍림아파트,92053,471,541,460,541,11,33
간석한신더휴아파트맞은편,37447,2195,503,2182,503,13,89
간재울초등학교,42347,6087,4115,5909,4115,178,340
간촌,43504,22,72,20,72,2,3
간촌,43518,85,22,79,22,6,3
갈산대동아파트,40550,243,764,235,764,8,33
갈산동아아파트,40567,1468,1627,1454,1627,14,103
갈산동입구,40622,41,4695,41,4695,0,157
갈산동천주교회,40652,883,4629,834,4629,49,183
갈산동천주교회맞은편,40650,5323,4538,5253,4538,70,328
갈산두산아파트,40544,4082,6006,3997,6006,85,336
갈산사거리,40631,2787,4291,2721,4291,66,235
갈산사거리,40634,3216,4961,3161,4961,55,272
갈산새마을금고,40635,8792,2162,8654,2162,138,365
갈산시장,40628,6877,6176,6795,6176,82,435
갈산시장.갈산도서관,40629,2390,6921,2293,6921,97,310
갈산역,40601,36725,12882,36542,12882,183,1653
갈산역,40602,10617,43938,10519,43938,98,1818
갈산역(1번출구),40604,24618,6935,24434,6935,184,1051
갈산역(부평4공단)4번출구,40606,6712,17968,6650,17968,62,822
갈산주공1단지,40578,3058,1928,2975,1928,83,166
갈산주공1단지105동,40813,7618,2995,7527,2995,91,353
갈산주공2단지,40562,389,1110,387,1110,2,49
갈산주공2단지,40577,4457,7431,4304,7431,153,396
갈산태화아파트,40542,466,1226,449,1226,17,56
갈산태화아파트,40664,5051,830,4978,830,73,196
갈산태화아파트,40666,224,1543,216,1543,8,58
갈산태화아파트,40667,694,2627,682,2627,12,110
갈월초등학교,40531,89,1158,86,1158,3,41
갈현경로당,41491,42,253,42,253,0,9
갈현경로당앞,41607,196,40,195,40,1,7
갈현교,41608,127,1,120,1,7,4
갈현교,41609,100,126,1,126,99,7
갈현교입구,41492,540,29,524,29,16,18
갈현교입구,41617,1,207,0,207,1,6
갈현동마을,41351,790,708,776,708,14,49
갈현동마을,41352,318,1483,315,1483,3,60
갑곶돈대.강화전쟁박물관,43365,10,8,10,8,0,0
갑곶돈대.강화전쟁박물관,43728,17,19,16,19,1,1
갑곶돈대입구,43367,7,17,7,17,0,0
갑곶돈대입구,43726,15,9,15,9,0,0
갑륭초교,43374,0,4,0,4,0,0
갑륭초교,43724,6,164,6,164,0,5
갑문,35125,19,471,19,471,0,16
갑문,35504,145,14,142,14,3,5
강남시장,42172,21367,13898,20770,13898,597,1175
강남시장,42173,12600,11942,12332,11942,268,818
강남역.역삼세무서,23287,1051,1334,1051,1334,0,79
강남역도시에빛,31076,2754,7964,2754,7964,0,357
강남역서초현대타워앞,31016,52353,34199,52263,34199,90,2885
강남중교,43213,91,22,91,22,0,3
강남중교,43278,10,192,8,192,2,6
강서중학교,43660,2,116,2,116,0,3
강서중학교,43898,181,17,168,17,13,6
강인여객,40020,1167,1579,1123,1579,44,91
강인여객,40022,1246,911,1223,911,23,71
강화갯벌장어,43671,3,1,3,1,0,0
강화경찰서,43209,229,18,198,18,31,8
강화경찰서,43624,5,226,5,226,0,7
강화고등학교,43564,7,25,7,25,0,1
강화고등학교,43761,157,112,157,112,0,8
강화군 행복센터,43055,99,1503,96,1503,3,53
강화군 행복센터,43056,1,189,1,189,0,6
강화군노인문화센터,90373,0,53,0,53,0,1
강화군노인문화센터,90374,33,4,33,4,0,1
강화군청,43065,3497,649,3280,649,217,138
강화군청,43108,754,2610,719,2610,35,112
강화루지.강남상회,43150,158,44,157,44,1,6
강화루지.강남상회,43250,91,239,87,239,4,11
강화마니산,43001,48,54,43,54,5,3
강화마니산,43002,398,134,372,134,26,17
강화문화원.종합전시관,43097,2,63,2,63,0,2
강화문화원.종합전시관,43098,46,485,45,485,1,17
강화병원,43088,34,1171,29,1171,5,40
강화병원,43089,951,36,947,36,4,32
강화산단,90123,0,11,0,11,0,0
강화산단입구,90096,0,5,0,5,0,0
강화산단입구,90097,19,0,19,0,0,0
강화산성서문,43080,0,15,0,15,0,0
강화산성서문,43081,19,50,19,50,0,2
강화서문,43063,533,423,513,423,20,31
강화서문,43064,454,392,432,392,22,28
강화수양관앞,43467,34,20,34,20,0,1
강화수양관앞,43732,9,22,9,22,0,1
강화슈퍼,43066,619,1099,606,1099,13,57
강화슈퍼,43068,1617,297,1473,297,144,63
강화실버케어스앞,43975,40,144,39,144,1,6
강화실버케어스앞,43976,93,72,93,72,0,5
강화아시아드BMX경기장,43799,1,110,1,110,0,3
강화여자중학교,90334,0,57,0,57,0,1
강화역사박물관(고인돌),43601,334,20,315,20,19,11
강화역사박물관(고인돌),43670,30,374,30,374,0,13
강화장례식장,43918,1371,62,1314,62,57,47
강화장례식장,43946,62,1587,32,1587,30,54
강화중학교,43207,23,36,23,36,0,1
강화중학교,43623,8,38,8,38,0,1
강화터미널,43058,0,1,0,1,0,0
강화터미널,43096,46946,960,43988,960,2958,1596
개항동 어울터,35197,9530,1942,9210,1942,320,382
개항동 어울터,35198,2387,9040,2316,9040,71,380
개화2치안센터,25023,53,1929,51,1929,2,66
개화2치안센터,25024,2711,45,2698,45,13,91
개화역1번출구.개화검문소,25030,163,7771,160,7771,3,264
개화역1번출구.개화검문소,25031,2869,285,2840,285,29,105
개화역광역환승센터,25182,1569,2397,1565,2397,4,132
갤러리84입구,35666,36,6,32,6,4,1
갤러리84입구,35667,18,31,18,31,0,1
갯벌슈퍼,43410,7,23,7,23,0,1
갯벌슈퍼,43513,19,15,19,15,0,1
거북시장,42132,14640,12224,14182,12224,458,895
거북시장,42136,13702,11541,13349,11541,353,841
거산정공.(주)록키,39137,1392,1681,1384,1681,8,102
거잠포선착장,35302,164,800,164,800,0,32
거잠포선착장,35303,1007,160,1006,160,1,38
거잠포회센터,35588,100,37,68,37,32,4
건설기술교육원,39353,7081,11505,7041,11505,40,619
건설기술교육원,39354,5116,4285,5080,4285,36,313
건영아파트,38069,16069,40224,15846,40224,223,1876
건일아파트,43015,376,175,367,175,9,18
건일아파트,43094,167,239,157,239,10,13
건지사거리,42882,82,1,81,1,1,2
건지사거리,42883,0,256,0,256,0,8
건평,43168,64,71,58,71,6,4
건평,43186,10,42,10,42,0,1
건평리,43187,22,26,20,26,2,1
건평리,43651,8,47,8,47,0,1
건평마을회관,43594,16,40,16,40,0,1
건평입구,43170,1,18,1,18,0,0
건평입구,43331,23,11,23,11,0,1
걸포북변역,35560,45,3318,43,3318,2,112
걸포북변역,35610,2699,146,2670,146,29,94
걸포사거리.우리병원,35561,254,379,244,379,10,21
검단1차피오레·금호어울림아파트,89457,153,142,151,142,2,9
검단1차피오레·금호어울림아파트,89458,21,436,17,436,4,15
검단LH행복주택,89408,7580,2312,7499,2312,81,329
검단공구상가,89053,103,482,76,482,27,19
검단공구상가,89065,304,202,293,202,11,16
검단노인복지관,42695,144,403,132,403,12,18
검단농기구센터,89316,69,15,69,15,0,2
검단농기구센터,89324,2,131,2,131,0,4
검단농협,42432,25812,9189,25180,9189,632,1166
검단농협,42434,4898,13940,4759,13940,139,627
검단동행정복지센터(검단고교),42441,3776,7927,3616,7927,160,390
검단동행정복지센터(검단고교),42445,3988,4672,3879,4672,109,288
검단로지스틱스파크,41339,776,129,772,129,4,30
검단로지스틱스파크,42395,163,1346,141,1346,22,50
검단메가박스,42383,2176,1660,2118,1660,58,127
검단메가박스,42384,953,2288,906,2288,47,108
검단모아엘가그랑데아파트,42483,43,447,43,447,0,16
검단사거리역,42419,13381,15298,13138,15298,243,955
검단사거리역,42426,2255,8390,2231,8390,24,354
검단사거리역,42427,7510,3129,7434,3129,76,354
검단사거리역,42537,10224,11211,9991,11211,233,714
검단신도시예미지더시그너스,89415,353,277,352,277,1,21
검단신도시예미지더시그너스,89416,4,281,4,281,0,9
검단신도시우미린리버포레,89409,3413,6795,3355,6795,58,340
검단오류공단,42702,20,491,9,491,11,17
검단오류공단,42703,415,15,401,15,14,14
검단오류역,89057,6539,641,6504,641,35,239
검단오류역,89060,667,6090,634,6090,33,225
검단오류역우방아이유쉘,89067,313,719,309,719,4,34
검단오류역우방아이유쉘,89068,893,139,867,139,26,34
검단오류풍림아이원,89251,94,409,92,409,2,16
검단오류풍림아이원,89252,314,153,309,153,5,15
검단우방아이유쉘아파트,42688,319,414,292,414,27,24
검단원흥아파트,42400,1874,1040,1803,1040,71,97
검단원흥아파트,42401,1387,3190,1336,3190,51,152
검단지식산업센타,89054,8626,152,8397,152,229,292
검단지식산업센타,89063,101,6375,100,6375,1,215
검단초등학교,42475,8245,3645,8053,3645,192,396
검단초등학교,42482,3818,5472,3747,5472,71,309
검단초등학교,89332,33,124,32,124,1,5
검단초등학교,89333,123,113,121,113,2,7
검단출장소,42423,15654,10874,15334,10874,320,884
검단출장소,42424,4322,10679,4202,10679,120,500
검단탑종합병원,42877,396,573,389,573,7,32
검단하나아파트,42421,2427,559,2392,559,35,99
검단하나아파트,42422,513,399,506,399,7,30
검단힐스테이트5차아파트,42557,7,159,5,159,2,5
검단힐스테이트5차아파트,42558,143,478,135,478,8,20
검문소,43662,1,1,1,1,0,0
검문소,43812,18,93,18,93,0,3
검문소,90042,2,2,2,2,0,0
검문소,90043,18,116,17,116,1,4
검바위역,42348,4538,945,4436,945,102,182
검바위역,42349,1503,3074,1477,3074,26,152
검암경서동행정복지센터,42352,2001,6227,1943,6227,58,274
검암경서동행정복지센터,42353,6139,1955,5894,1955,245,269
검암사거리,42356,2289,3183,2252,3183,37,182
검암사거리,42357,4373,1691,4266,1691,107,202
검암사거리,42358,4876,1555,4753,1555,123,214
검암역(시내방면),42364,20215,2576,20005,2576,210,759
검암역(원당방면),42363,1754,26806,1710,26806,44,952
검암역.서해그랑블아파트,42360,4875,4273,4824,4273,51,304
검암역로열파크씨티푸르지오1단지,89167,1067,4,972,4,95,35
검암역로열파크씨티푸르지오1단지,89168,7,598,0,598,7,20
검암역로열파크씨티푸르지오2단지,89169,389,7,375,7,14,13
검암역로열파크씨티푸르지오2단지,89170,71,635,1,635,70,23
검암역입구,42851,9627,5562,9546,5562,81,506
검암역입구,42852,5828,5871,5793,5871,35,389
검암역입구(시천교밑),89250,10486,2867,10466,2867,20,445
검암중학교,42359,3747,1479,3645,1479,102,174
검암중학교,42362,2633,3092,2608,3092,25,190
검암초등학교,42361,415,5976,401,5976,14,213
경기국제통상고.포도마을뉴서울.중앙공원,55042,456,2108,431,2108,25,85
경기국제통상고.포도마을뉴서울.중앙공원,55043,1683,897,1628,897,55,86
경기도교육청학생교육원,43162,1,82,1,82,0,2
경기도교육청학생교육원,43222,193,37,192,37,1,7
경기주유소,43051,103,365,103,365,0,15
경남1차,40343,9020,352,8839,352,181,312
경남1차아파트,40376,14250,7163,14050,7163,200,713
경남2차,40305,8588,75,8499,75,89,288
경남아너스빌,42099,3357,1486,3240,1486,117,161
경남아너스빌,42102,1350,2861,1313,2861,37,140
경남아너스빌아파트,42110,4591,2987,4511,2987,80,252
경남아너스빌아파트,42111,1961,2585,1896,2585,65,151
경남아파트,35143,7749,2967,7612,2967,137,357
경남아파트,35147,640,2104,602,2104,38,91
경남아파트,38281,8413,7077,8244,7077,169,516
경남아파트,41011,16564,4266,16234,4266,330,694
경남아파트,41014,4020,8619,3987,8619,33,421
경남아파트,42332,6839,2493,6729,2493,110,311
경남아파트,42334,2609,7254,2580,7254,29,328
경남아파트308동앞,40334,59,6876,59,6876,0,231
경남아파트311동앞,40300,18,5611,18,5611,0,187
경남아파트313동앞,40287,19,6358,17,6358,2,212
경동택배,89315,54,1,53,1,1,1
경동택배,89325,0,41,0,41,0,1
경명초등학교,89216,1314,531,1293,531,21,61
경명초등학교,89277,4519,7419,4501,7419,18,397
경명초등학교,89278,4310,5447,4271,5447,39,325
경방신약,39136,5514,1526,5478,1526,36,234
경방신약,39138,2538,8889,2522,8889,16,380
경복예식장,39399,9802,4639,9526,4639,276,481
경서농원,42333,178,465,174,465,4,21
경서농원,42335,85,1122,69,1122,16,40
경서지구입구,42303,842,5267,834,5267,8,203
경서지구입구,42671,2492,2573,2461,2573,31,168
경서지구입구,42672,3989,2749,3913,2749,76,224
경서초등학교,42569,4363,2304,4297,2304,66,222
경서초등학교,42570,2776,2464,2747,2464,29,174
경신마을,39646,186,170,184,170,2,11
경신마을,39982,203,973,191,973,12,39
경신아파트,41216,2033,1141,2016,1141,17,105
경신아파트,41223,1863,3590,1810,3590,53,181
경연초중학교,89271,6627,4470,6476,4470,151,369
경연초중학교,89272,3688,5341,3667,5341,21,300
경연초중학교·청라센텀로제비앙,89286,2138,969,2056,969,82,103
경연초중학교·호반베르디움6차,89285,1860,1776,1815,1776,45,121
경인계량소,42549,1255,5,1233,5,22,42
경인계량소,42550,3,841,3,841,0,28
경인교대.부평향교,41138,842,1148,810,1148,32,66
경인교대.부평향교,41139,783,918,764,918,19,56
경인교대역입구,41428,9653,7322,9431,7322,222,565
경인교대역입구,41429,8220,9045,8040,9045,180,575
경인교회앞,40077,985,3619,956,3619,29,153
경인방송,37003,111,152,110,152,1,8
경인방송,37004,109,219,99,219,10,10
경인산업,39688,778,1408,766,1408,12,72
경인아라뱃길여객터미널,42869,451,12,446,12,5,15
경인여대,41277,7107,11441,7087,11441,20,618
경인여대,41278,4343,5169,4330,5169,13,317
경인특장,42547,226,1,214,1,12,7
경인항다목적부두,89151,80,1,77,1,3,2
경인항다목적부두,89152,2,143,2,143,0,4
경전말,43934,30,2,28,2,2,1
경제자유구역청,38514,2216,2166,2180,2166,36,146
경제자유구역청,38515,3004,3518,2961,3518,43,217
경진브로아,39042,985,1208,978,1208,7,73
경흥빌라,43372,371,8,355,8,16,12
경흥빌라,43616,3,184,3,184,0,6
경희유치원앞,39991,151,574,142,574,9,24
경희유치원앞,39992,180,231,179,231,1,13
계량소,40195,2226,314,2183,314,43,84
계룡리슈빌,55225,6611,2130,6608,2130,3,291
계산3동행정복지센터,41649,74,48,73,48,1,4
계산3동행정복지센터,41656,153,127,149,127,4,9
계산공고,41167,3570,3256,3466,3256,104,227
계산공고,41170,5250,8599,5165,8599,85,461
계산공고앞,41169,2845,1958,2763,1958,82,160
계산국민체육센터,41276,2078,3053,2047,3053,31,171
계산국민체육센터,41613,1882,2197,1867,2197,15,135
계산동수협,41533,4281,5033,4189,5033,92,310
계산동아아파트,41231,222,26,215,26,7,8
계산동우체국,41427,6386,3705,6336,3705,50,336
계산삼거리,41196,263,217,253,217,10,16
계산삼거리(신도브래뉴),41199,10226,10194,10088,10194,138,680
계산삼거리(신도브래뉴),41201,4455,8360,4386,8360,69,427
계산시장,41176,4112,4596,4044,4596,68,290
계산여고,41576,952,864,930,864,22,60
계산여자고등학교,41221,38,283,34,283,4,10
계산여자고등학교,41224,1159,1032,1126,1032,33,73
계산역,41247,6311,5617,6270,5617,41,397
계산역,41371,11092,69,11048,69,44,372
계산역,41426,27530,22232,27338,22232,192,1658
계산역,41431,24445,30342,24246,30342,199,1826
계산우체국,41430,10493,11650,10372,11650,121,738
계산전통시장,41648,84,24,83,24,1,3
계산전통시장,41657,36,223,36,223,0,8
계산주공아파트,41423,12675,13906,12412,13906,263,886
계산중학교,41577,321,40,320,40,1,12
계산현대아파트,41650,21,34,21,34,0,1
계양1동주민자치센터,41476,7671,1287,7526,1287,145,298
계양1동주민자치센터,41520,488,7677,450,7677,38,272
계양3동행정복지센터,41525,421,800,419,800,2,40
계양3동행정복지센터,41526,772,492,769,492,3,42
계양CGV,41140,3443,3517,3395,3517,48,232
계양경찰서,41184,10109,7442,10021,7442,88,585
계양경찰서,41185,5942,8825,5873,8825,69,492
계양경찰서,41195,20630,5856,20179,5856,451,882
계양경찰서·계양구청,41194,4340,16707,4266,16707,74,701
계양구의회,41123,5784,4711,5702,4711,82,349
